stadium_name,city,state,team_name,league,division,opened,years_active,status,renovations,capacity_opening,capacity_current,playing_surface_type,surface,architect,facade_material,architectural_style,classification_era,stadium_type,roof_type,name_history,preceded_by,succeeded_by,elevation,coordinates,stadium_cost,stadium_cost_adjusted,financing_method,address,location_classification,construction_start,opening_day,final_game,demolition_year,left_field_distance,center_field_distance,right_field_distance,orientation,orientation_degrees,visit_order,visit_count,first_visit_date,featured_visit_day,featured_visit_date,featured_game_title,other_visits,trip_name,home_team,home_team_abbreviation,away_team,away_team_abbreviation,game_result,attendance,start_time,time_zone,game_duration,day_night,home_starting_pitcher,away_starting_pitcher,winning_pitcher,losing_pitcher,save_pitcher,innings_played,temperature,conditions,wind,humidity,primary_home_team_color,secondary_home_team_color,home_team_accent_color
Wrigley Field,Chicago,Illinois,Cubs,National League,NL East/Central,1914,1914-present,Active,"Major 1930s expansion; lights installed in 1988; 1060 Project restoration and expansion from 2014-2019; scoreboard, clubhouse, bleacher, concourse, and plaza upgrades","14,000","41,649",Natural grass,Kentucky bluegrass,Zachary Taylor Davis,Steel-and-concrete grandstand with brick outfield walls and concrete-and-steel street facades,Jewel-box neighborhood ballpark,Jewel Box and Early Concrete,Open-air neighborhood jewel-box ballpark,Open Air,Weeghman Park (1914-1920); Cubs Park (1920-1926); Wrigley Field (1927-present),23rd Street Grounds; Lakefront Park; West Side Park; South Side Park; West Side Grounds,n/a,600 ft,"41.9481° N, 87.6556° W",$250k,$8.04 million,"Privately financed by Charles Weeghman for the Federal League Chicago Whales, later acquired by the Cubs","1060 W Addison Street, Chicago, IL 60613",Urban,"Mar 4, 1911","Apr 23, 1914",n/a,n/a,355 ft,400 ft,353 ft,NE,37°,1,3,"Jun 17, 1953",Friday,"Aug 12, 1988",Group Visit,"Jun 19, 1953 (doubleheader); Aug 13, 1988",Midwest,Chicago Cubs,CHC,St. Louis Cardinals,STL,"Cardinals 4, Cubs 0","31,596",3:05 PM,CDT,2:42,Day,Rick Sutcliffe,Joe Magrane,Joe Magrane,Rick Sutcliffe,n/a,9,91°,Clear,11 mph SSW,51%,Royal Blue,Red,White
Milwaukee County Stadium,Milwaukee,Wisconsin,Brewers,National/American League,AL East/Central/West; NL Central,1953,1953-2000,Demolished,"Upper-deck and seating expansions in the 1950s; scoreboard, lighting, clubhouse, and amenities upgrades across Brewers tenancy","36,011","53,192",Natural grass,Bluegrass,Osborn Engineering,Steel-and-concrete municipal grandstand with utilitarian exposed stadium structure,Postwar municipal baseball stadium with expandable utilitarian bowl planning,Postwar Municipal,Open-air municipal baseball stadium,Open Air,n/a,n/a,Miller Park,650 ft,"43.03° N, 87.974° W",$5.9 million,$71 million,Publicly financed and owned by Milwaukee County as a municipal stadium,"201 S 46th Street, Milwaukee, WI 53214 (former site)",Fairgrounds-adjacent,"Oct 19, 1950","Apr 6, 1953","Sep 28, 2000",2001,362 ft,402 ft,362 ft,SE,135°,2,2,"Jun 26 or 27, 1953",Friday,"Aug 12, 1988",Group Visit,n/a,Midwest,Milwaukee Brewers,MIL,Baltimore Orioles,BAL,"Brewers 8, Orioles 3","30,181",7:40 PM,CDT,3:05,Night,Mike Birkbeck,Oswaldo Peraza,Mike Birkbeck,Oswaldo Peraza,n/a,9,87°,Mostly Clear,5 mph SW,62%,Navy Blue,Gold,Royal Blue
Comiskey Park,Chicago,Illinois,White Sox,American League,AL West,1910,1910-1990,Demolished,"Upper-deck, scoreboard, lighting, seating, clubhouse, and structural updates across decades","32,000","43,951",Mixed / changed over time,Bluegrass outfield; Sox Sod AstroTurf infield 1969-1975; grass infield restored 1976,Zachary Taylor Davis,"Brick, reinforced concrete, and steel neighborhood grandstand",Jewel-box neighborhood ballpark,Jewel Box and Early Concrete,Open-air neighborhood jewel-box ballpark,Open Air,"White Sox Park (1910-1912, 1962-1975); Comiskey Park (1913-1961, 1976-1990)",39th Street Grounds / South Side Park,New Comiskey Park,595 ft,"41.8317° N, 87.6342° W",$750k,$25.9 million,Privately financed by White Sox owner Charles Comiskey,"324 W 35th Street, Chicago, IL 60616 (former site)",Urban,1910,"Jul 1, 1910","Sep 30, 1990",1991,352 ft,420 ft,352 ft,NE,45°,3,2,1969,Tuesday,"Aug 16, 1988",Group Visit,n/a,Midwest,Chicago White Sox,CWS,Toronto Blue Jays,TOR,"White Sox 5, Blue Jays 4","15,706",7:38 PM,CDT,3:09,Night,Jack McDowell,Jimmy Key,Jack McDowell,Jimmy Key,Bobby Thigpen,9,95°,Clear,9 mph SSW,54%,Black,Silver,White
Dodger Stadium,Los Angeles,California,Dodgers,National League,NL West,1962,1962-present,Active,"Major phased renovations under multiple ownership groups; seating, video, club, concourse, plaza, bullpen, and center-field renovations completed across the 2000s and 2010s","56,000","56,000",Natural grass,Tifway 419 bermudagrass overseeded with perennial ryegrass,Emil Praeger,Cast-in-place and precast concrete with painted steel railings and pastel modernist accents,Mid-century modern hillside baseball stadium,Modernist Baseball Specific,Open-air baseball-only stadium,Open Air,n/a,Los Angeles Memorial Coliseum,n/a,520 ft,"34.0736° N, 118.24° W",$23 million,$245 million,"Privately financed by Dodgers owner Walter O'Malley, enabled by a land exchange and site/infrastructure arrangements with Los Angeles","1000 Vin Scully Avenue, Los Angeles, CA 90012",Parkland-adjacent; Hilltop; Urban,"Sep 17, 1959","Apr 10, 1962",n/a,n/a,330 ft,395 ft,330 ft,NNE,26°,4,5,1970,Monday; Tuesday,"Aug 18, 1986; Aug 19, 1986",Group Visit,"May 14, 1978; May 22, 2010",Southern California,Los Angeles Dodgers,LAD,New York Mets,NYM,"Mets 5, Dodgers 4; Mets 6, Dodgers 4","46,099; 46,977",5:05 PM; 7:35 PM,PDT,3:23; 3:03,Night,Orel Hershiser; Fernando Valenzuela,Bob Ojeda; Ron Darling,Bob Ojeda; Ron Darling,Orel Hershiser; Fernando Valenzuela,Roger McDowell,9,83°,Partly Cloudy; Mostly Clear,14 mph SW; 10 mph SW,43%; 47%,Dodger Blue,Red,White
San Diego Stadium,San Diego,California,Padres,National League,NL West,1969,1969-2003 for MLB,Demolished,Expanded in 1984; enclosed and enlarged for football in 1997,"50,000","63,890",Natural grass,Santa Ana Bermuda grass,Frank L. Hope and Associates,Exposed reinforced concrete with geometric ramps and round concrete circulation towers,Expressionist Brutalist multipurpose stadium,Multipurpose Shared Use,Open-air multipurpose stadium,Open Air,San Diego Stadium (1967-1980); Jack Murphy Stadium (1981-1997); Qualcomm Stadium (1997-2017); SDCCU Stadium (2017-2020),n/a,Petco Park,70 ft,"32.7831° N, 117.1194° W",$27.75 million,$268 million,Publicly financed by the City of San Diego as a municipal multipurpose stadium,"9449 Friars Road, San Diego, CA 92108 (former site)",Valley; Urban; Suburban,"Dec 18, 1965","Apr 8, 1969","Sep 28, 2003",2021,327 ft,405 ft,330 ft,N,0°,5,1,"May 17, 1972 (estimated)",Wednesday,"May 17, 1972",Visit Info,n/a,n/a,San Diego Padres,SD,Los Angeles Dodgers,LAD,"Padres 2, Dodgers 0","12,995",7:30 PM,PDT,2:13,Night,Fred Norman,Tommy John,Fred Norman,Tommy John,n/a,9,60°,Mostly Clear,7 mph WSW,71%,Brown,Gold,White
Anaheim Stadium,Anaheim,California,Angels,American League,AL West,1966,1966-Present,Active,"1979-1981 expansion and enclosure for Los Angeles Rams football tenancy; 1996-1998 baseball-only renovation under Disney ownership; later video, lighting, seating, and technology upgrades","43,204","45,517",Natural grass,Tifway 419 bermudagrass,"Noble W. Herzberg and Associates; 1996-1998 renovation by HOK Sport, Robert A.M. Stern Architects, and Walt Disney Imagineering","Concrete, stucco, and steel",Expansion-era modern stadium with Disney-era retro entertainment renovation,Transitional Modern,Open-air baseball stadium; former multipurpose stadium,Open Air,Anaheim Stadium (1966-1997); Edison International Field of Anaheim (1998-2003); Angel Stadium of Anaheim (2004-present),Los Angeles Wrigley Field; Dodger Stadium,n/a,148 ft,"33.8006° N, 117.8834° W",$24 million,$240 million,Publicly financed by the City of Anaheim; later baseball-only renovation involved Disney/Angels and city participation,"2000 E Gene Autry Way, Anaheim, CA 92806",Suburban,1964,"Apr 9, 1966",n/a,n/a,347 ft,396 ft,350 ft,NE,43.61°,6,2,"Aug 17, 1986",Sunday,"Aug 17, 1986",First Visit,2006,Southern California,California Angels,CAL,Oakland Athletics,OAK,"Angels 7, Athletics 3","28,504",1:05 PM,PDT,3:10,Day,Don Sutton,Joaquin Andujar,Don Sutton,Joaquin Andujar,Gary Lucas,9,83°,Clear,11 mph WSW,51%,Red,Navy Blue,Silver
Yankee Stadium (1923),Bronx,New York,Yankees,American League,AL East,1923,1923-2008,Demolished,"Major 1974-1975 reconstruction; seating, facade, scoreboard, club, lighting, and amenity upgrades","58,000","56,936",Natural grass,Merion bluegrass,Osborn Engineering,Concrete-and-steel triple-deck structure with limestone/concrete exterior and copper/painted concrete frieze,Monumental jewel-box stadium with classical civic scale and Art Deco frieze,"Jewel Box and Early Concrete",Open-air monumental urban ballpark,Open Air,n/a,Hilltop Park; Polo Grounds,Yankee Stadium (2009),55 ft,"40.8269° N, 73.9281° W",$2.4 million,$34.4 million,Privately financed by Yankees owners Jacob Ruppert and Tillinghast Huston,"161st Street and River Avenue, Bronx, NY 10451 (former site)",Urban,"May 5, 1922","Apr 18, 1923","Sep 21, 2008",2010,318 ft,408 ft,314 ft,E,90°,7,2,"Aug 1, 1987",Saturday,"Aug 1, 1987",First Visit,"Jul 1, 2001",New York,New York Yankees,NYY,Detroit Tigers,DET,"Tigers 10, Yankees 5","55,103",7:05 PM,EDT,3:11,Night,Dennis Rasmussen,Frank Tanana,Frank Tanana,Dennis Rasmussen,n/a,9,77°,Clear,8 mph S,56%,Navy Blue,White,Gray
Shea Stadium,Queens,New York,Mets,National League,NL East,1964,1964-2008,Demolished,"Scoreboard, seating, luxury, lighting, field, and amenity upgrades across Mets and Jets tenancies","55,300","60,372",Natural grass,Kentucky bluegrass,Praeger-Kavanagh-Waterbury,Reinforced concrete and steel with blue-and-orange exterior steel panels,1960s modern multipurpose stadium with World's Fair-era color-panel facade,Multipurpose Shared Use,Open-air multipurpose stadium,Open Air,n/a,Polo Grounds,Citi Field,10 ft,"40.7556° N, 73.8481° W",$28.5 million,$296 million,Publicly financed and owned by New York City as a municipal stadium,"123-01 Roosevelt Avenue, Flushing, NY 11368 (former site)",Parkland-adjacent,"Oct 28, 1961","Apr 17, 1964","Sep 28, 2008",2009,338 ft,410 ft,338 ft,ENE,67.5°,8,2,"Aug 7, 1987",Thursday,"Aug 16, 1990",Group Visit,n/a,Northeast,New York Mets,NYM,Los Angeles Dodgers,LAD,"Mets 4, Dodgers 1","41,715",1:35 PM,EDT,2:32,Day,Ron Darling,Tim Belcher,Ron Darling,Tim Belcher,John Franco,9,82°,Clear,4 mph SSW,51%,Royal Blue,Orange,White
Riverfront Stadium,Cincinnati,Ohio,Reds,National League,NL West/Central,1970,1970-2002,Demolished,"Artificial turf, seating, scoreboard, luxury, and football/baseball updates; partial seating removal before demolition","51,050","52,952",Mixed / changed over time,AstroTurf 8 1970-2000; natural grass 2001-2002,"Heery & Heery, and FABRAP",Exposed reinforced/precast concrete circular multipurpose bowl,Circular multipurpose concrete doughnut stadium,Multipurpose Shared Use,Open-air circular multipurpose stadium,Open Air,Riverfront Stadium (1970-1996); Cinergy Field (1996-2002),Union Grounds; Avenue Grounds; Bank Street Grounds; League Park; Palace of the Fans; Redland Field / Crosley Field,Great American Ball Park,490 ft,"39.0967° N, 84.5083° W",$45 million,$373 million,Publicly financed by Cincinnati/Hamilton County as a municipal riverfront multipurpose stadium,"201 E Mehring Way, Cincinnati, OH 45202 (former site)",Riverfront; Downtown,"Feb 1, 1968","Jun 30, 1970","Sep 22, 2002",2002,330 ft,404 ft,330 ft,E,90°,9,1,"Aug 14, 1988",Sunday,"Aug 14, 1988",Group Visit,n/a,Midwest,Cincinnati Reds,CIN,Atlanta Braves,ATL,"Reds 2, Braves 0","38,945",2:15 PM,EDT,2:04,Day,Jose Rijo,Zane Smith,Tim Birtsas,Zane Smith,John Franco,9,93°,Clear,7 mph SW,43%,Red,Black,White
Tiger Stadium,Detroit,Michigan,Tigers,American League,AL East,1912,1912-1999,Demolished,"Expanded as Briggs Stadium in the 1930s; upper-deck enclosure, lights, scoreboards, seating, and structural updates","23,000","52,416",Natural grass,Bluegrass,Osborn Engineering,"Brick, reinforced concrete, and steel",Jewel-box urban ballpark,Jewel Box and Early Concrete,Jewel-box ballpark,Open Air,Navin Field (1912-1937); Briggs Stadium (1938-1960); Tiger Stadium (1961-1999),Bennett Park,Comerica Park,600 ft,"42.3325° N, 83.0691° W",$300k,$10 million,Privately financed by Tigers owner Frank Navin,"2121 Trumbull Avenue, Detroit, MI 48216",Urban,1911,"Apr 20, 1912","Sep 27, 1999",2009,340 ft,440 ft,325 ft,NNE,22.5°,10,1,"Aug 15, 1988",Monday,"Aug 15, 1988",Group Visit,n/a,Midwest,Detroit Tigers,DET,Minnesota Twins,MIN,"Twins 2, Tigers 1","32,700",7:40 PM,EDT,2:37,Night,Walt Terrell,Frank Viola,Frank Viola,Walt Terrell,n/a,9,88°,Mostly Clear,6 mph NW,35%,Navy Blue,Orange,White
